,nome_munic,codigo_ibge,data_inicio_sintomas,diagnostico_covid19,obito
0,Monte Azul Paulista,3531506,2020-04-13T00:00:00Z,1,0
1,Monte Azul Paulista,3531506,2020-04-29T00:00:00Z,1,0
2,Monte Azul Paulista,3531506,2020-04-30T00:00:00Z,1,0
3,Monte Azul Paulista,3531506,2020-05-01T00:00:00Z,1,0
4,Monte Azul Paulista,3531506,2020-05-04T00:00:00Z,1,0
5,Monte Azul Paulista,3531506,2020-05-06T00:00:00Z,1,0
6,Monte Azul Paulista,3531506,2020-05-10T00:00:00Z,3,0
7,Monte Azul Paulista,3531506,2020-05-18T00:00:00Z,1,0
8,Monte Azul Paulista,3531506,2020-05-19T00:00:00Z,2,0
9,Monte Azul Paulista,3531506,2020-05-24T00:00:00Z,1,0
10,Monte Azul Paulista,3531506,2020-05-25T00:00:00Z,1,0
11,Monte Azul Paulista,3531506,2020-05-28T00:00:00Z,1,0
12,Monte Azul Paulista,3531506,2020-06-01T00:00:00Z,1,0
13,Monte Azul Paulista,3531506,2020-06-02T00:00:00Z,3,0
14,Monte Azul Paulista,3531506,2020-06-03T00:00:00Z,1,0
15,Monte Azul Paulista,3531506,2020-06-06T00:00:00Z,1,0
16,Monte Azul Paulista,3531506,2020-06-11T00:00:00Z,2,0
17,Monte Azul Paulista,3531506,2020-06-14T00:00:00Z,1,0
18,Monte Azul Paulista,3531506,2020-06-15T00:00:00Z,1,0
19,Monte Azul Paulista,3531506,2020-06-16T00:00:00Z,2,0
20,Monte Azul Paulista,3531506,2020-06-17T00:00:00Z,2,0
21,Monte Azul Paulista,3531506,2020-06-19T00:00:00Z,4,0
22,Monte Azul Paulista,3531506,2020-06-20T00:00:00Z,4,0
23,Monte Azul Paulista,3531506,2020-06-21T00:00:00Z,3,0
24,Monte Azul Paulista,3531506,2020-06-22T00:00:00Z,2,0
25,Monte Azul Paulista,3531506,2020-06-23T00:00:00Z,2,0
26,Monte Azul Paulista,3531506,2020-06-24T00:00:00Z,6,0
27,Monte Azul Paulista,3531506,2020-06-25T00:00:00Z,2,0
28,Monte Azul Paulista,3531506,2020-06-26T00:00:00Z,2,0
29,Monte Azul Paulista,3531506,2020-06-29T00:00:00Z,2,0
30,Monte Azul Paulista,3531506,2020-06-30T00:00:00Z,3,0
31,Monte Azul Paulista,3531506,2020-07-02T00:00:00Z,2,0
32,Monte Azul Paulista,3531506,2020-07-03T00:00:00Z,2,1
33,Monte Azul Paulista,3531506,2020-07-04T00:00:00Z,3,0
34,Monte Azul Paulista,3531506,2020-07-05T00:00:00Z,1,0
35,Monte Azul Paulista,3531506,2020-07-06T00:00:00Z,4,0
36,Monte Azul Paulista,3531506,2020-07-08T00:00:00Z,2,0
37,Monte Azul Paulista,3531506,2020-07-09T00:00:00Z,1,0
38,Monte Azul Paulista,3531506,2020-07-10T00:00:00Z,2,0
39,Monte Azul Paulista,3531506,2020-07-12T00:00:00Z,3,0
40,Monte Azul Paulista,3531506,2020-07-14T00:00:00Z,3,0
41,Monte Azul Paulista,3531506,2020-07-15T00:00:00Z,4,0
42,Monte Azul Paulista,3531506,2020-07-19T00:00:00Z,2,1
43,Monte Azul Paulista,3531506,2020-07-20T00:00:00Z,2,0
44,Monte Azul Paulista,3531506,2020-07-22T00:00:00Z,1,0
45,Monte Azul Paulista,3531506,2020-07-23T00:00:00Z,3,0
46,Monte Azul Paulista,3531506,2020-07-24T00:00:00Z,2,0
47,Monte Azul Paulista,3531506,2020-07-27T00:00:00Z,4,0
48,Monte Azul Paulista,3531506,2020-07-28T00:00:00Z,2,0
49,Monte Azul Paulista,3531506,2020-07-29T00:00:00Z,1,0
50,Monte Azul Paulista,3531506,2020-07-30T00:00:00Z,3,0
51,Monte Azul Paulista,3531506,2020-07-31T00:00:00Z,2,0
52,Monte Azul Paulista,3531506,2020-08-01T00:00:00Z,2,0
53,Monte Azul Paulista,3531506,2020-08-03T00:00:00Z,3,0
54,Monte Azul Paulista,3531506,2020-08-05T00:00:00Z,3,0
55,Monte Azul Paulista,3531506,2020-08-06T00:00:00Z,2,0
56,Monte Azul Paulista,3531506,2020-08-07T00:00:00Z,2,0
57,Monte Azul Paulista,3531506,2020-08-09T00:00:00Z,2,0
58,Monte Azul Paulista,3531506,2020-08-10T00:00:00Z,4,0
59,Monte Azul Paulista,3531506,2020-08-11T00:00:00Z,1,0
60,Monte Azul Paulista,3531506,2020-08-12T00:00:00Z,3,0
61,Monte Azul Paulista,3531506,2020-08-13T00:00:00Z,6,0
62,Monte Azul Paulista,3531506,2020-08-14T00:00:00Z,4,0
63,Monte Azul Paulista,3531506,2020-08-15T00:00:00Z,2,0
64,Monte Azul Paulista,3531506,2020-08-16T00:00:00Z,2,0
65,Monte Azul Paulista,3531506,2020-08-17T00:00:00Z,1,0
66,Monte Azul Paulista,3531506,2020-08-18T00:00:00Z,1,0
67,Monte Azul Paulista,3531506,2020-08-19T00:00:00Z,1,0
68,Monte Azul Paulista,3531506,2020-08-20T00:00:00Z,3,0
69,Monte Azul Paulista,3531506,2020-08-21T00:00:00Z,2,0
70,Monte Azul Paulista,3531506,2020-08-22T00:00:00Z,1,0
71,Monte Azul Paulista,3531506,2020-08-23T00:00:00Z,3,0
72,Monte Azul Paulista,3531506,2020-08-24T00:00:00Z,2,0
73,Monte Azul Paulista,3531506,2020-08-25T00:00:00Z,1,0
74,Monte Azul Paulista,3531506,2020-08-26T00:00:00Z,2,0
75,Monte Azul Paulista,3531506,2020-08-27T00:00:00Z,1,0
76,Monte Azul Paulista,3531506,2020-08-29T00:00:00Z,2,0
77,Monte Azul Paulista,3531506,2020-08-30T00:00:00Z,1,0
78,Monte Azul Paulista,3531506,2020-08-31T00:00:00Z,2,0
79,Monte Azul Paulista,3531506,2020-09-01T00:00:00Z,4,0
80,Monte Azul Paulista,3531506,2020-09-02T00:00:00Z,1,0
81,Monte Azul Paulista,3531506,2020-09-03T00:00:00Z,4,0
82,Monte Azul Paulista,3531506,2020-09-05T00:00:00Z,1,0
83,Monte Azul Paulista,3531506,2020-09-07T00:00:00Z,3,0
84,Monte Azul Paulista,3531506,2020-09-09T00:00:00Z,2,0
85,Monte Azul Paulista,3531506,2020-09-11T00:00:00Z,1,0
86,Monte Azul Paulista,3531506,2020-09-13T00:00:00Z,1,0
87,Monte Azul Paulista,3531506,2020-09-14T00:00:00Z,3,0
88,Monte Azul Paulista,3531506,2020-09-15T00:00:00Z,1,0
89,Monte Azul Paulista,3531506,2020-09-16T00:00:00Z,1,0
90,Monte Azul Paulista,3531506,2020-09-18T00:00:00Z,1,0
91,Monte Azul Paulista,3531506,2020-09-21T00:00:00Z,1,0
92,Monte Azul Paulista,3531506,2020-09-23T00:00:00Z,1,0
93,Monte Azul Paulista,3531506,2020-09-26T00:00:00Z,1,0
94,Monte Azul Paulista,3531506,2020-09-28T00:00:00Z,1,0
95,Monte Azul Paulista,3531506,2020-09-29T00:00:00Z,1,0
96,Monte Azul Paulista,3531506,2020-10-01T00:00:00Z,3,0
97,Monte Azul Paulista,3531506,2020-10-02T00:00:00Z,1,0
98,Monte Azul Paulista,3531506,2020-10-04T00:00:00Z,2,0
99,Monte Azul Paulista,3531506,2020-10-06T00:00:00Z,1,0
100,Monte Azul Paulista,3531506,2020-10-07T00:00:00Z,2,0
101,Monte Azul Paulista,3531506,2020-10-08T00:00:00Z,6,0
102,Monte Azul Paulista,3531506,2020-10-09T00:00:00Z,1,0
103,Monte Azul Paulista,3531506,2020-10-10T00:00:00Z,5,0
104,Monte Azul Paulista,3531506,2020-10-11T00:00:00Z,1,0
105,Monte Azul Paulista,3531506,2020-10-12T00:00:00Z,1,0
106,Monte Azul Paulista,3531506,2020-10-13T00:00:00Z,1,0
107,Monte Azul Paulista,3531506,2020-10-14T00:00:00Z,2,0
108,Monte Azul Paulista,3531506,2020-10-16T00:00:00Z,2,0
109,Monte Azul Paulista,3531506,2020-10-17T00:00:00Z,2,0
110,Monte Azul Paulista,3531506,2020-10-19T00:00:00Z,1,0
111,Monte Azul Paulista,3531506,2020-10-21T00:00:00Z,1,0
112,Monte Azul Paulista,3531506,2020-10-22T00:00:00Z,2,0
113,Monte Azul Paulista,3531506,2020-10-23T00:00:00Z,1,0
114,Monte Azul Paulista,3531506,2020-10-25T00:00:00Z,1,0
115,Monte Azul Paulista,3531506,2020-10-26T00:00:00Z,2,0
116,Monte Azul Paulista,3531506,2020-11-03T00:00:00Z,1,0
117,Monte Azul Paulista,3531506,2020-11-04T00:00:00Z,1,0
118,Monte Azul Paulista,3531506,2020-11-05T00:00:00Z,1,0
119,Monte Azul Paulista,3531506,2020-11-07T00:00:00Z,3,0
120,Monte Azul Paulista,3531506,2020-11-08T00:00:00Z,2,0
121,Monte Azul Paulista,3531506,2020-11-09T00:00:00Z,1,0
122,Monte Azul Paulista,3531506,2020-11-10T00:00:00Z,1,0
123,Monte Azul Paulista,3531506,2020-11-12T00:00:00Z,1,0
124,Monte Azul Paulista,3531506,2020-11-13T00:00:00Z,1,0
125,Monte Azul Paulista,3531506,2020-11-15T00:00:00Z,1,0
126,Monte Azul Paulista,3531506,2020-11-21T00:00:00Z,1,0
127,Monte Azul Paulista,3531506,2020-11-23T00:00:00Z,1,0
128,Monte Azul Paulista,3531506,2020-11-24T00:00:00Z,2,0
129,Monte Azul Paulista,3531506,2020-11-25T00:00:00Z,1,0
130,Monte Azul Paulista,3531506,2020-11-26T00:00:00Z,1,0
131,Monte Azul Paulista,3531506,2020-11-27T00:00:00Z,1,0
132,Monte Azul Paulista,3531506,2020-11-28T00:00:00Z,3,0
133,Monte Azul Paulista,3531506,2020-11-30T00:00:00Z,3,0
134,Monte Azul Paulista,3531506,2020-12-03T00:00:00Z,1,0
135,Monte Azul Paulista,3531506,2020-12-05T00:00:00Z,3,0
136,Monte Azul Paulista,3531506,2020-12-06T00:00:00Z,5,0
137,Monte Azul Paulista,3531506,2020-12-07T00:00:00Z,1,0
138,Monte Azul Paulista,3531506,2020-12-08T00:00:00Z,2,0
139,Monte Azul Paulista,3531506,2020-12-09T00:00:00Z,2,0
140,Monte Azul Paulista,3531506,2020-12-10T00:00:00Z,5,0
141,Monte Azul Paulista,3531506,2020-12-11T00:00:00Z,2,0
142,Monte Azul Paulista,3531506,2020-12-12T00:00:00Z,5,0
143,Monte Azul Paulista,3531506,2020-12-14T00:00:00Z,8,0
144,Monte Azul Paulista,3531506,2020-12-15T00:00:00Z,2,0
145,Monte Azul Paulista,3531506,2020-12-16T00:00:00Z,1,0
146,Monte Azul Paulista,3531506,2020-12-17T00:00:00Z,3,0
147,Monte Azul Paulista,3531506,2020-12-18T00:00:00Z,3,1
148,Monte Azul Paulista,3531506,2020-12-19T00:00:00Z,4,0
149,Monte Azul Paulista,3531506,2020-12-20T00:00:00Z,1,0
150,Monte Azul Paulista,3531506,2020-12-21T00:00:00Z,3,0
151,Monte Azul Paulista,3531506,2020-12-22T00:00:00Z,4,0
152,Monte Azul Paulista,3531506,2020-12-24T00:00:00Z,3,0
153,Monte Azul Paulista,3531506,2020-12-25T00:00:00Z,3,0
154,Monte Azul Paulista,3531506,2020-12-26T00:00:00Z,5,0
155,Monte Azul Paulista,3531506,2020-12-27T00:00:00Z,4,0
156,Monte Azul Paulista,3531506,2020-12-28T00:00:00Z,12,0
157,Monte Azul Paulista,3531506,2020-12-29T00:00:00Z,1,0
158,Monte Azul Paulista,3531506,2020-12-30T00:00:00Z,4,0
159,Monte Azul Paulista,3531506,2020-12-31T00:00:00Z,5,0
160,Monte Azul Paulista,3531506,2021-01-01T00:00:00Z,6,1
161,Monte Azul Paulista,3531506,2021-01-02T00:00:00Z,5,0
162,Monte Azul Paulista,3531506,2021-01-03T00:00:00Z,5,0
163,Monte Azul Paulista,3531506,2021-01-04T00:00:00Z,19,0
164,Monte Azul Paulista,3531506,2021-01-05T00:00:00Z,9,1
165,Monte Azul Paulista,3531506,2021-01-06T00:00:00Z,6,0
166,Monte Azul Paulista,3531506,2021-01-07T00:00:00Z,7,0
167,Monte Azul Paulista,3531506,2021-01-08T00:00:00Z,7,0
168,Monte Azul Paulista,3531506,2021-01-09T00:00:00Z,4,0
169,Monte Azul Paulista,3531506,2021-01-10T00:00:00Z,3,0
170,Monte Azul Paulista,3531506,2021-01-11T00:00:00Z,12,0
171,Monte Azul Paulista,3531506,2021-01-12T00:00:00Z,10,0
172,Monte Azul Paulista,3531506,2021-01-13T00:00:00Z,17,0
173,Monte Azul Paulista,3531506,2021-01-15T00:00:00Z,10,0
174,Monte Azul Paulista,3531506,2021-01-16T00:00:00Z,4,0
175,Monte Azul Paulista,3531506,2021-01-17T00:00:00Z,12,1
176,Monte Azul Paulista,3531506,2021-01-18T00:00:00Z,15,1
177,Monte Azul Paulista,3531506,2021-01-19T00:00:00Z,6,0
178,Monte Azul Paulista,3531506,2021-01-20T00:00:00Z,9,0
179,Monte Azul Paulista,3531506,2021-01-21T00:00:00Z,9,0
180,Monte Azul Paulista,3531506,2021-01-22T00:00:00Z,8,0
181,Monte Azul Paulista,3531506,2021-01-23T00:00:00Z,12,0
182,Monte Azul Paulista,3531506,2021-01-24T00:00:00Z,2,0
183,Monte Azul Paulista,3531506,2021-01-25T00:00:00Z,13,0
184,Monte Azul Paulista,3531506,2021-01-26T00:00:00Z,10,1
185,Monte Azul Paulista,3531506,2021-01-27T00:00:00Z,4,0
186,Monte Azul Paulista,3531506,2021-01-28T00:00:00Z,9,0
187,Monte Azul Paulista,3531506,2021-01-29T00:00:00Z,6,0
188,Monte Azul Paulista,3531506,2021-01-30T00:00:00Z,4,0
189,Monte Azul Paulista,3531506,2021-01-31T00:00:00Z,9,0
190,Monte Azul Paulista,3531506,2021-02-01T00:00:00Z,6,0
191,Monte Azul Paulista,3531506,2021-02-02T00:00:00Z,3,0
192,Monte Azul Paulista,3531506,2021-02-03T00:00:00Z,3,0
193,Monte Azul Paulista,3531506,2021-02-04T00:00:00Z,3,0
194,Monte Azul Paulista,3531506,2021-02-05T00:00:00Z,13,0
195,Monte Azul Paulista,3531506,2021-02-06T00:00:00Z,2,0
196,Monte Azul Paulista,3531506,2021-02-07T00:00:00Z,2,0
197,Monte Azul Paulista,3531506,2021-02-08T00:00:00Z,4,0
198,Monte Azul Paulista,3531506,2021-02-09T00:00:00Z,1,0
199,Monte Azul Paulista,3531506,2021-02-10T00:00:00Z,3,0
200,Monte Azul Paulista,3531506,2021-02-11T00:00:00Z,3,0
201,Monte Azul Paulista,3531506,2021-02-12T00:00:00Z,1,0
202,Monte Azul Paulista,3531506,2021-02-13T00:00:00Z,4,0
203,Monte Azul Paulista,3531506,2021-02-14T00:00:00Z,2,0
204,Monte Azul Paulista,3531506,2021-02-15T00:00:00Z,9,0
205,Monte Azul Paulista,3531506,2021-02-17T00:00:00Z,2,0
206,Monte Azul Paulista,3531506,2021-02-18T00:00:00Z,4,0
207,Monte Azul Paulista,3531506,2021-02-19T00:00:00Z,4,0
208,Monte Azul Paulista,3531506,2021-02-20T00:00:00Z,6,0
209,Monte Azul Paulista,3531506,2021-02-21T00:00:00Z,5,0
210,Monte Azul Paulista,3531506,2021-02-22T00:00:00Z,6,0
211,Monte Azul Paulista,3531506,2021-02-23T00:00:00Z,7,0
212,Monte Azul Paulista,3531506,2021-02-24T00:00:00Z,8,0
213,Monte Azul Paulista,3531506,2021-02-25T00:00:00Z,3,0
214,Monte Azul Paulista,3531506,2021-02-26T00:00:00Z,4,0
215,Monte Azul Paulista,3531506,2021-02-27T00:00:00Z,7,0
216,Monte Azul Paulista,3531506,2021-02-28T00:00:00Z,4,0
217,Monte Azul Paulista,3531506,2021-03-01T00:00:00Z,14,0
218,Monte Azul Paulista,3531506,2021-03-02T00:00:00Z,8,0
219,Monte Azul Paulista,3531506,2021-03-03T00:00:00Z,6,0
220,Monte Azul Paulista,3531506,2021-03-04T00:00:00Z,18,0
221,Monte Azul Paulista,3531506,2021-03-05T00:00:00Z,7,0
222,Monte Azul Paulista,3531506,2021-03-06T00:00:00Z,6,0
223,Monte Azul Paulista,3531506,2021-03-07T00:00:00Z,5,1
224,Monte Azul Paulista,3531506,2021-03-08T00:00:00Z,11,0
225,Monte Azul Paulista,3531506,2021-03-09T00:00:00Z,16,0
226,Monte Azul Paulista,3531506,2021-03-10T00:00:00Z,15,1
227,Monte Azul Paulista,3531506,2021-03-11T00:00:00Z,7,0
228,Monte Azul Paulista,3531506,2021-03-12T00:00:00Z,18,1
229,Monte Azul Paulista,3531506,2021-03-13T00:00:00Z,13,0
230,Monte Azul Paulista,3531506,2021-03-14T00:00:00Z,5,0
231,Monte Azul Paulista,3531506,2021-03-15T00:00:00Z,14,0
232,Monte Azul Paulista,3531506,2021-03-16T00:00:00Z,5,0
233,Monte Azul Paulista,3531506,2021-03-17T00:00:00Z,6,0
234,Monte Azul Paulista,3531506,2021-03-18T00:00:00Z,14,0
235,Monte Azul Paulista,3531506,2021-03-19T00:00:00Z,9,0
236,Monte Azul Paulista,3531506,2021-03-20T00:00:00Z,16,0
237,Monte Azul Paulista,3531506,2021-03-21T00:00:00Z,3,0
238,Monte Azul Paulista,3531506,2021-03-22T00:00:00Z,19,0
239,Monte Azul Paulista,3531506,2021-03-23T00:00:00Z,6,0
240,Monte Azul Paulista,3531506,2021-03-24T00:00:00Z,2,0
241,Monte Azul Paulista,3531506,2021-03-25T00:00:00Z,10,0
242,Monte Azul Paulista,3531506,2021-03-26T00:00:00Z,4,0
243,Monte Azul Paulista,3531506,2021-03-27T00:00:00Z,12,0
244,Monte Azul Paulista,3531506,2021-03-28T00:00:00Z,4,0
245,Monte Azul Paulista,3531506,2021-03-29T00:00:00Z,4,0
246,Monte Azul Paulista,3531506,2021-03-30T00:00:00Z,9,0
247,Monte Azul Paulista,3531506,2021-03-31T00:00:00Z,8,0
248,Monte Azul Paulista,3531506,2021-04-01T00:00:00Z,8,0
249,Monte Azul Paulista,3531506,2021-04-02T00:00:00Z,3,0
250,Monte Azul Paulista,3531506,2021-04-03T00:00:00Z,6,0
251,Monte Azul Paulista,3531506,2021-04-04T00:00:00Z,6,0
252,Monte Azul Paulista,3531506,2021-04-05T00:00:00Z,15,0
253,Monte Azul Paulista,3531506,2021-04-06T00:00:00Z,6,0
254,Monte Azul Paulista,3531506,2021-04-07T00:00:00Z,5,1
255,Monte Azul Paulista,3531506,2021-04-08T00:00:00Z,7,0
256,Monte Azul Paulista,3531506,2021-04-09T00:00:00Z,5,0
257,Monte Azul Paulista,3531506,2021-04-10T00:00:00Z,6,0
258,Monte Azul Paulista,3531506,2021-04-11T00:00:00Z,5,0
259,Monte Azul Paulista,3531506,2021-04-12T00:00:00Z,17,0
260,Monte Azul Paulista,3531506,2021-04-13T00:00:00Z,18,0
261,Monte Azul Paulista,3531506,2021-04-14T00:00:00Z,5,0
262,Monte Azul Paulista,3531506,2021-04-15T00:00:00Z,15,0
263,Monte Azul Paulista,3531506,2021-04-16T00:00:00Z,16,0
264,Monte Azul Paulista,3531506,2021-04-17T00:00:00Z,5,0
265,Monte Azul Paulista,3531506,2021-04-18T00:00:00Z,8,0
266,Monte Azul Paulista,3531506,2021-04-19T00:00:00Z,22,0
267,Monte Azul Paulista,3531506,2021-04-20T00:00:00Z,18,0
268,Monte Azul Paulista,3531506,2021-04-21T00:00:00Z,17,0
269,Monte Azul Paulista,3531506,2021-04-22T00:00:00Z,6,0
270,Monte Azul Paulista,3531506,2021-04-23T00:00:00Z,22,0
